complaint_id,txn_id,txn_id_missing,user_id,merchant_id,transaction_timestamp,reported_timestamp,bank_response_timestamp,reporting_delay_days,bank_response_delay_days,impossible_reporting_delay,disputed_amount,disputed_amount_missing,reason_code_bucket,reason_code,complaint_text,resolution_status,severity,channel,transaction_date,reported_date,bank_response_date,txn_id_missing_flag,user_id_missing_flag,merchant_id_missing_flag,disputed_amount_missing_flag,has_long_reporting_delay,has_long_bank_response_delay,invalid_reporting_delay,invalid_bank_response_delay,user_found_in_kyc,merchant_found_in_master,transaction_found,user_id_unmatched,merchant_id_unmatched,txn_id_unmatched
CB0000566,TXN00000086,False,USR11727,MER4948,2026-02-23 00:00:00,2026-02-24 02:13:00,2026-03-15 00:00:00,1.0923611111111111,18.90763888888889,False,411.83,False,Other/Unclassified,unauth txn,User says UPI PIN was not entered by them.,Rejected,High,Chatbot,2026-02-23,2026-02-24,2026-03-15,False,False,False,False,False,True,False,False,False,True,True,True,False,False
CB0001247,TXN00003165,False,USR41524,MER2342,2026-01-04 00:00:00,2026-01-09 00:00:00,2026-02-03 00:00:00,5.0,25.0,False,2714.54,False,Other/Unclassified,scam,Suspicious high-value payment disputed by customer.,Resolved,Medium,Call Center,2026-01-04,2026-01-09,2026-02-03,False,False,False,False,False,True,False,False,False,False,True,True,True,False
CB0000594,TXN65742,False,USR32980,MER7020,2026-02-19 00:00:00,,2026-02-24 00:00:00,,,False,470.0,False,Item/Service Not Delivered,Merchant Not Delivered,suspicious high-value payment disputed by customer.,Closed,Medium,Email,2026-02-19,,2026-02-24,False,False,False,False,False,False,False,False,False,True,False,True,False,True
CB0002792,TXN00005061,False,USR22154,MER9022,2026-02-28 13:16:03,2026-03-02 00:00:00,2026-03-30 00:00:00,1.4471875,28.0,False,1535.65,False,Account Takeover / Unauthorized,account hacked,Customer says amount was debited twice.,Rejected,High,Chatbot,2026-02-28,2026-03-02,2026-03-30,False,False,False,False,False,True,False,False,True,True,True,False,False,False
CB0002683,TXN00004094,False,USR73891,MER8154,2026-01-08 00:00:00,2026-01-06 00:00:00,2026-01-21 00:00:00,-2.0,15.0,True,2519.45,False,Other/Unclassified,incorrect amount,suspicious high-value payment disputed by customer.,In Progress,High,IVR,2026-01-08,2026-01-06,2026-01-21,False,False,False,False,False,True,True,False,False,True,True,True,False,False
CB0000259,TXN00017504,False,USR24872,MER9291,2026-01-22 00:00:00,2026-01-30 09:27:00,2026-02-13 00:00:00,8.39375,13.60625,False,12647.35,False,Account Takeover / Unauthorized,unauthorized_transaction,merchant service was not delivered after payment.,In Progress,Low,Chatbot,2026-01-22,2026-01-30,2026-02-13,False,False,False,False,True,True,False,False,True,False,True,False,True,False
CB0001330,TXN00005940,False,USR67471,MER8738,2026-03-14 00:34:00,2026-03-15 12:34:00,2026-03-27 00:00:00,1.5,11.47638888888889,False,1360.01,False,Duplicate Debit,DUP_DEBIT,Suspicious high-value payment disputed by customer.,Pending Bank,Medium,Chatbot,2026-03-14,2026-03-15,2026-03-27,False,False,False,False,False,True,False,False,False,False,True,True,True,False
CB0001155,TXN00010146,False,USR94690,MER3957,2026-02-09 19:16:42,,2026-02-23 06:16:42,,,False,2637.93,False,Account Takeover / Unauthorized,unauthorized_transaction,Payment made to unknown merchant as per customer statement.,In Progress,Medium,IVR,2026-02-09,,2026-02-23,False,False,False,False,False,False,False,False,True,False,True,False,True,False
CB0000512,TXN00014054,False,USR27947,MER7667,2026-01-21 00:00:00,2026-01-26 00:00:00,2026-01-30 00:00:00,5.0,4.0,False,4010.97,False,Account Takeover / Unauthorized,Unauthorized Transaction,Customer says amount was debited twice.,Closed,Low,Chatbot,2026-01-21,2026-01-26,2026-01-30,False,False,False,False,False,False,False,False,True,False,True,False,True,False
CB0002002,TXN00010298,False,USR97772,MER5269,2026-01-03 00:00:00,2026-01-08 00:00:00,2026-02-03 23:32:04,5.0,26.98060185185185,False,534.44,False,Other/Unclassified,service failed,Merchant service was not delivered after payment. urgent,In Progress,High,Chatbot,2026-01-03,2026-01-08,2026-02-03,False,False,False,False,False,True,False,False,True,False,True,False,True,False
CB0000289,TXN00005764,False,USR38028,MER6758,2026-03-12 23:03:00,,,,,False,513.84,False,Other/Unclassified,Fraud Suspected,User claims account was compromised before transaction.,Rejected,Medium,Chatbot,2026-03-12,,,False,False,False,False,False,False,False,False,True,True,True,False,False,False
CB0002463,TXN00014364,False,USR87498,MER4089,2026-01-19 00:00:00,2026-01-21 17:18:16,2026-02-11 00:00:00,2.7210185185185187,20.27898148148148,False,2489.04,False,Other/Unclassified,suspicious transaction,Customer says amount was debited twice.,Resolved,Low,Chatbot,2026-01-19,2026-01-21,2026-02-11,False,False,False,False,False,True,False,False,False,True,True,True,False,False
CB0002564,TXN00013473,False,USR78994,MER2383,2026-02-16 02:17:00,2026-02-26 00:00:00,2026-03-04 00:00:00,9.904861111111112,6.0,False,2485.28,False,General Complaint / Dispute,Customer Dispute,Customer says amount was debited twice.,Pending Bank,Medium,Chatbot,2026-02-16,2026-02-26,2026-03-04,False,False,False,False,True,False,False,False,True,True,True,False,False,False
CB0000789,TXN00006632,False,USR56899,MER7296,2026-03-28 00:00:00,2026-04-03 00:00:00,,6.0,,False,4124.85,False,Other/Unclassified,fraud,Merchant service was not delivered after payment.,In Progress,Low,Email,2026-03-28,2026-04-03,,False,False,False,False,False,False,False,False,False,False,True,True,True,False
CB0000080,TXN00007630,False,USR70905,MER7833,2026-01-11 19:35:00,2026-01-12 06:35:00,2026-01-24 00:00:00,0.4583333333333333,11.725694444444445,False,963.14,False,Duplicate Debit,Duplicate Debit,user claims account was compromised before transaction.,In Progress,Low,Branch,2026-01-11,2026-01-12,2026-01-24,False,False,False,False,False,True,False,False,False,True,True,True,False,False
CB0002798,TXN66039,False,USR24087,MER6965,2026-01-14 00:00:00,2026-01-22 06:27:51,2026-02-09 00:00:00,8.269340277777777,17.73065972222222,False,1372.0,False,Other/Unclassified,Service Not Provided,User reports money deducted but merchant denies receiving payment.,Resolved,Low,Chatbot,2026-01-14,2026-01-22,2026-02-09,False,False,False,False,True,True,False,False,False,True,False,True,False,True
CB0002232,TXN00009269,False,USR99886,MER1941,2026-01-26 19:24:45,2026-01-29 17:24:45,,2.9166666666666665,,False,385.53,False,Item/Service Not Delivered,Merchant Not Delivered,Payment made to unknown merchant as per customer statement.,Closed,Medium,Chatbot,2026-01-26,2026-01-29,,False,False,False,False,False,False,False,False,True,True,True,False,False,False
CB0000069,TXN00002744,False,USR21384,MER4252,2026-01-15 01:24:40,,2026-02-11 00:00:00,,,False,840.07,False,Item/Service Not Delivered,delivery issue,USER CLAIMS ACCOUNT WAS COMPROMISED BEFORE TRANSACTION.,In Progress,Critical,Email,2026-01-15,,2026-02-11,False,False,False,False,False,False,False,False,False,False,True,True,True,False
CB0001919,TXN00005826,False,USR72795,MER2259,2026-01-31 00:00:00,2026-02-04 14:03:00,2026-02-08 00:00:00,4.585416666666666,3.4145833333333333,False,1770.58,False,Account Takeover / Unauthorized,login compromised,Merchant service was not delivered after payment.,Rejected,High,IVR,2026-01-31,2026-02-04,2026-02-08,False,False,False,False,False,False,False,False,True,False,True,False,True,False
CB0001264,TXN00008143,False,USR92737,MER4183,2026-03-22 17:21:29,2026-03-25 22:21:00,,3.207997685185185,,False,240.64,False,Other/Unclassified,unauth txn,Merchant service was not delivered after payment.,Open,Low,IVR,2026-03-22,2026-03-25,,False,False,False,False,False,False,False,False,True,False,True,False,True,False
CB0000430,TXN00018881,False,USR47299,MER3382,2026-02-11 03:20:31,2026-02-26 00:00:00,2026-03-23 06:20:31,14.860752314814814,25.264247685185182,False,2108.9,False,Other/Unclassified,fraud,Merchant service was not delivered after payment. urgent,In Progress,Medium,IVR,2026-02-11,2026-02-26,2026-03-23,False,False,False,False,True,True,False,False,True,False,True,False,True,False
CB0002544,TXN00018727,False,USR27888,MER5076,2026-03-20 01:26:11,2026-03-25 00:00:00,2026-04-24 20:26:11,4.940150462962963,30.851516203703703,False,10161.06,False,Item/Service Not Delivered,delivery issue,merchant service was not delivered after payment.,Open,High,Chatbot,2026-03-20,2026-03-25,2026-04-24,False,False,False,False,False,True,False,False,False,False,True,True,True,False
CB0000366,TXN00002078,False,USR73403,MER5076,2026-03-02 18:29:32,2026-03-04 00:00:00,,1.2294907407407407,,False,6907.46,False,Amount Mismatch,extra amount deducted,Customer says transaction was not authorized.,Closed,Low,Call Center,2026-03-02,2026-03-04,,False,False,False,False,False,False,False,False,False,False,True,True,True,False
CB0002156,TXN00013206,False,USR11987,MER6665,2026-01-24 09:52:00,2026-01-25 04:52:00,,0.7916666666666666,,False,26477.69,False,General Complaint / Dispute,Customer Dispute,Complaint received after multiple failed attempts.,In Progress,High,Email,2026-01-24,2026-01-25,,False,False,False,False,False,False,False,False,True,True,True,False,False,False
CB0002430,TXN00019681,False,USR37650,MER5655,2026-01-29 00:00:00,2026-02-04 00:00:00,2026-02-15 00:00:00,6.0,11.0,False,9661.7,False,Item/Service Not Delivered,not delivered,Customer says amount was debited twice.,Resolved,High,IVR,2026-01-29,2026-02-04,2026-02-15,False,False,False,False,False,True,False,False,True,False,True,False,True,False
CB0002608,TXN00012654,False,USR13367,MER8076,2026-03-29 04:01:37,,2026-04-24 19:01:00,,,False,326.32,False,Account Takeover / Unauthorized,account hacked,User claims account was compromised before transaction.,Resolved,Low,App,2026-03-29,,2026-04-24,False,False,False,False,False,False,False,False,False,False,True,True,True,False
CB0000929,TXN00014710,False,USR38547,MER5541,2026-01-23 13:11:04,2026-02-03 12:11:04,2026-02-04 12:11:00,10.958333333333334,0.9999537037037036,False,3089.13,False,Account Takeover / Unauthorized,Unauthorized Transaction,Merchant service was not delivered after payment.,Open,Medium,IVR,2026-01-23,2026-02-03,2026-02-04,False,False,False,False,True,False,False,False,True,True,True,False,False,False
CB0002572,TXN00002760,False,USR49176,MER2925,2026-01-15 14:26:16,2026-01-30 00:00:00,2026-02-09 00:00:00,14.398425925925926,10.0,False,1345.79,False,Other/Unclassified,unauth txn,User says UPI PIN was not entered by them.,Resolved,Low,IVR,2026-01-15,2026-01-30,2026-02-09,False,False,False,False,True,True,False,False,True,False,True,False,True,False
CB0002104,TXN00006293,False,USR48479,MER8779,2026-01-08 00:00:00,2026-01-19 00:00:00,,11.0,,False,2214.27,False,Duplicate Debit,DUP_DEBIT,Complaint received after multiple failed attempts.,Rejected,Low,Branch,2026-01-08,2026-01-19,,False,False,False,False,True,False,False,False,False,True,True,True,False,False
CB0000661,TXN00012553,False,USR87727,MER8876,2026-01-21 17:03:00,2026-01-23 00:00:00,2026-02-15 06:03:00,1.2895833333333333,23.25208333333333,False,901.62,False,Item/Service Not Delivered,no service,User claims account was compromised before transaction.,Resolved,Low,IVR,2026-01-21,2026-01-23,2026-02-15,False,False,False,False,False,True,False,False,False,False,True,True,True,False
CB0002250,TXN00008645,False,USR60783,MER8613,2026-01-12 12:57:11,2026-01-19 00:00:00,,6.460289351851852,,False,5443.5,False,Account Takeover / Unauthorized,Unauthorized Transaction,PAYMENT MADE TO UNKNOWN MERCHANT AS PER CUSTOMER STATEMENT.,Closed,High,Call Center,2026-01-12,2026-01-19,,False,False,False,False,False,False,False,False,False,True,True,True,False,False
CB0002400,TXN00015733,False,USR87357,MER9878,2026-01-22 00:00:00,2026-01-25 00:00:00,2026-02-22 00:00:00,3.0,28.0,False,2313.86,False,Other/Unclassified,UNAUTHORISED,customer complaint text unclear due to poor call center notes.,Closed,Medium,IVR,2026-01-22,2026-01-25,2026-02-22,False,False,False,False,False,True,False,False,False,False,True,True,True,False
CB0002718,TXN00013934,False,USR84084,MER7370,2026-02-20 00:00:00,2026-03-22 23:15:17,2026-04-04 00:00:00,30.96894675925926,12.03105324074074,False,7727.87,False,Account Takeover / Unauthorized,Account Takeover,User claims account was compromised before transaction.,Open,Low,IVR,2026-02-20,2026-03-22,2026-04-04,False,False,False,False,True,True,False,False,False,True,True,True,False,False
CB0002314,TXN00014145,False,USR21162,MER2383,2026-03-09 00:00:00,2026-03-10 21:03:16,2026-04-07 00:00:00,1.8772685185185185,27.12273148148148,False,3888.0,False,Other/Unclassified,suspicious transaction,Complaint received after multiple failed attempts.,Closed,Low,IVR,2026-03-09,2026-03-10,2026-04-07,False,False,False,False,False,True,False,False,False,True,True,True,False,False
CB0001839,TXN00004638,False,USR67862,MER8953,2026-02-12 09:49:00,2026-02-12 11:49:00,2026-02-17 00:00:00,0.0833333333333333,4.507638888888889,False,1651.94,False,Amount Mismatch,extra amount deducted,User reports money deducted but merchant denies receiving payment.,In Progress,High,Email,2026-02-12,2026-02-12,2026-02-17,False,False,False,False,False,False,False,False,False,False,True,True,True,False
CB0002370,TXN00001816,False,USR24664,MER3992,2026-03-25 00:00:00,2026-03-26 19:41:41,2026-04-13 00:00:00,1.820613425925926,17.179386574074073,False,6501.45,False,Duplicate Debit,DUP_DEBIT,Payment made to unknown merchant as per customer statement.,Pending Bank,Low,Call Center,2026-03-25,2026-03-26,2026-04-13,False,False,False,False,False,True,False,False,False,False,True,True,True,False
CB0001278,TXN00008385,False,USR17657,MER3542,2026-02-20 00:00:00,2026-04-06 00:00:00,,45.0,,False,1944.27,False,General Complaint / Dispute,dispute raised,PAYMENT MADE TO UNKNOWN MERCHANT AS PER CUSTOMER STATEMENT.,Resolved,Low,Chatbot,2026-02-20,2026-04-06,,False,False,False,False,True,False,False,False,False,False,True,True,True,False
CB0002440,TXN00014010,False,USR71922,MER6703,2026-01-31 08:39:15,2026-02-01 08:39:00,,0.9998263888888888,,False,1883.55,False,Other/Unclassified,unauth txn,complaint received after multiple failed attempts.,In Progress,High,IVR,2026-01-31,2026-02-01,,False,False,False,False,False,False,False,False,True,False,True,False,True,False
CB0001654,TXN00012039,False,USR76792,MER6492,2026-02-05 00:00:00,2026-02-07 05:28:28,2026-02-22 05:28:00,2.228101851851852,14.999675925925926,False,966.0,False,Amount Mismatch,extra amount deducted,User reports money deducted but merchant denies receiving payment.,In Progress,Medium,Call Center,2026-02-05,2026-02-07,2026-02-22,False,False,False,False,False,True,False,False,False,True,True,True,False,False
CB0001828,TXN00016623,False,USR59679,MER8755,2026-01-05 00:00:00,2026-01-15 08:21:37,2026-02-03 08:21:37,10.348344907407409,19.0,False,818.66,False,Account Takeover / Unauthorized,account hacked,Customer says amount was debited twice. pls check asap,Pending Bank,High,Branch,2026-01-05,2026-01-15,2026-02-03,False,False,False,False,True,True,False,False,False,False,True,True,True,False
CB0000959,TXN00011129,False,USR50320,MER6319,2026-02-07 00:00:00,2026-03-09 11:52:00,,30.494444444444444,,False,4888.42,False,Other/Unclassified,unauth txn,User reports money deducted but merchant denies receiving payment.,Closed,Medium,Email,2026-02-07,2026-03-09,,False,False,False,False,True,False,False,False,False,False,True,True,True,False
CB0001122,TXN00015275,False,USR61052,MER8979,2026-03-07 00:00:00,2026-03-13 16:27:48,2026-04-11 16:27:48,6.685972222222222,29.0,False,320.53,False,Item/Service Not Delivered,not delivered,Complaint received after multiple failed attempts.,Rejected,Medium,IVR,2026-03-07,2026-03-13,2026-04-11,False,False,False,False,False,True,False,False,False,False,True,True,True,False
CB0002333,TXN00002832,False,USR10042,MER1611,2026-03-02 13:26:00,2026-03-05 00:00:00,2026-04-04 00:00:00,2.4402777777777778,30.0,False,8214.17,False,Account Takeover / Unauthorized,Account Takeover,Merchant service was not delivered after payment.,Rejected,Medium,IVR,2026-03-02,2026-03-05,2026-04-04,False,False,False,False,False,True,False,False,False,True,True,True,False,False
CB0001696,TXN00019601,False,USR19556,MER5844,2026-03-08 00:00:00,2026-03-09 13:14:00,2026-04-03 00:00:00,1.551388888888889,24.448611111111116,False,9956.85,False,Account Takeover / Unauthorized,ATO,Suspicious high-value payment disputed by customer.,Closed,Medium,Chatbot,2026-03-08,2026-03-09,2026-04-03,False,False,False,False,False,True,False,False,False,False,True,True,True,False
CB0000578,TXN00006468,False,USR71457,MER6810,2026-01-09 11:52:43,2026-01-11 20:52:43,2026-01-13 00:00:00,2.375,1.1300578703703703,False,7884.04,False,Other/Unclassified,UNAUTHORISED,Suspicious high-value payment disputed by customer.,In Progress,Low,IVR,2026-01-09,2026-01-11,2026-01-13,False,False,False,False,False,False,False,False,True,False,True,False,True,False
CB0000973,TXN00016040,False,USR25345,MER3851,2026-02-04 00:00:00,2026-02-06 00:00:00,2026-03-07 00:00:00,2.0,29.0,False,3127.0,False,Other/Unclassified,unauth txn,Complaint received after multiple failed attempts.,Pending Bank,Low,IVR,2026-02-04,2026-02-06,2026-03-07,False,False,False,False,False,True,False,False,False,False,True,True,True,False
CB0001250,TXN00015587,False,USR11697,MER8741,2026-02-02 00:00:00,2026-02-05 00:00:00,,3.0,,False,11364.57,False,Item/Service Not Delivered,no service,Complaint received after multiple failed attempts.,Pending Bank,Low,App,2026-02-02,2026-02-05,,False,False,False,False,False,False,False,False,False,False,True,True,True,False
CB0001972,TXN00001376,False,USR12133,MER6555,2026-02-01 02:24:08,2026-02-06 04:24:08,,5.083333333333333,,False,1261.15,False,Item/Service Not Delivered,item not received,Merchant service was not delivered after payment.,Closed,Medium,Chatbot,2026-02-01,2026-02-06,,False,False,False,False,False,False,False,False,False,True,True,True,False,False
CB0001377,TXN00016673,False,USR91623,MER6411,2026-01-01 10:17:00,2026-01-05 00:00:00,,3.571527777777778,,False,1675.84,False,Item/Service Not Delivered,Merchant Not Delivered,Customer says amount was debited twice.,Rejected,Low,Chatbot,2026-01-01,2026-01-05,,False,False,False,False,False,False,False,False,True,False,True,False,True,False
CB0000655,TXN00002874,False,USR22639,MER4186,2026-01-12 15:25:38,2026-01-14 00:00:00,,1.357199074074074,,False,634.21,False,Other/Unclassified,incorrect amount,Customer says amount was debited twice.,Rejected,Low,Chatbot,2026-01-12,2026-01-14,,False,False,False,False,False,False,False,False,True,False,True,False,True,False
CB0001849,TXN51763,False,USR23350,MER2303,2026-01-23 00:00:00,,,,,False,830.25,False,Amount Mismatch,extra amount deducted,payment made to unknown merchant as per customer statement.,Open,Low,Email,2026-01-23,,,False,False,False,False,False,False,False,False,False,False,False,True,True,True
CB0002795,TXN00013236,False,USR87506,MER5811,2026-01-12 00:00:00,2026-01-14 07:15:20,2026-01-29 00:00:00,2.3023148148148147,14.697685185185184,False,6523.57,False,Item/Service Not Delivered,merchant service issue,Customer says transaction was not authorized.,In Progress,Low,Chatbot,2026-01-12,2026-01-14,2026-01-29,False,False,False,False,False,True,False,False,True,False,True,False,True,False
CB0000811,TXN00015831,False,USR22432,MER2078,2026-02-15 00:00:00,2026-02-16 00:00:00,,1.0,,False,3377.0,False,Other/Unclassified,scam,customer complaint text unclear due to poor call center notes.,Closed,Medium,Email,2026-02-15,2026-02-16,,False,False,False,False,False,False,False,False,False,True,True,True,False,False
CB0000215,TXN00001291,False,USR52378,MER9991,2026-01-29 00:00:00,2026-01-31 00:00:00,2026-02-13 00:00:00,2.0,13.0,False,1404.87,False,Account Takeover / Unauthorized,not done by me,user claims account was compromised before transaction.,Pending Bank,Medium,Branch,2026-01-29,2026-01-31,2026-02-13,False,False,False,False,False,True,False,False,False,False,True,True,True,False
CB0000695,TXN00012216,False,USR72760,MER7773,2026-03-13 00:00:00,2026-03-15 00:00:00,,2.0,,False,972.52,False,Other/Unclassified,FRAUD,Complaint received after multiple failed attempts.,In Progress,Low,Chatbot,2026-03-13,2026-03-15,,False,False,False,False,False,False,False,False,False,False,True,True,True,False
CB0001567,TXN00010292,False,USR40745,MER3673,2026-01-19 08:28:00,,2026-02-19 00:00:00,,,False,982.39,False,General Complaint / Dispute,customer issue,User claims account was compromised before transaction.,Pending Bank,Medium,Email,2026-01-19,,2026-02-19,False,False,False,False,False,False,False,False,False,False,True,True,True,False
CB0001512,TXN00019027,False,USR98733,MER1775,2026-02-16 08:24:00,2026-02-17 00:00:00,,0.65,,False,800.24,False,Duplicate Debit,DUP_DEBIT,Customer says amount was debited twice.,Rejected,Medium,Email,2026-02-16,2026-02-17,,False,False,False,False,False,False,False,False,True,True,True,False,False,False
CB0001403,TXN00012661,False,USR30500,MER6979,2026-03-08 00:00:00,2026-03-14 00:00:00,2026-03-30 00:00:00,6.0,16.0,False,4457.64,False,Other/Unclassified,unauth txn,Payment made to unknown merchant as per customer statement.,Resolved,Medium,IVR,2026-03-08,2026-03-14,2026-03-30,False,False,False,False,False,True,False,False,False,False,True,True,True,False
